Id,regime_score,igo,gdp,continent
HAI,-3.666737694,48.72086086,7.058625046,North America
DOM,3.589588919,51.8100983,8.00671141,North America
MEX,-1.060901906,64.5079033,8.799702074,North America
GUA,1.166666667,55.24768212,8.139851815,North America
HON,3.31234362,50.85571309,7.644089069,North America
SAL,3.134082865,48.47574433,8.279066323,North America
NIC,-0.060960068,56.29439252,7.853734001,North America
COS,10,53.05975049,8.463929063,North America
PAN,1.300136737,53.86166819,8.451257274,North America
ETH,-4.611065064,36.42291753,6.343346631,Africa
CHN,-7.308437982,44.68891826,7.304941806,Asia
MON,-0.655553196,24.09322574,7.615721967,Asia
PRK,-8.858258012,18.95398521,6.923671341,Asia
ROK,0.809948695,49.07405755,8.732666259,Asia
JPN,9.892318737,66.22062694,9.634949898,Asia
ROM,-1.661009174,51.8516055,8.128740673,Europe
RUS,-2.625615764,51.6136894,8.863574278,Europe
GDR,-8.015914258,27.37317311,9.16059309,No Continent
CZE,-4.72560416,34.69654329,8.349739652,No Continent
YUG,-5.511600096,44.1155226,8.632689089,No Continent
TAW,-0.940742219,9.973862729,8.875865465,No Continent
EGY,-6.186475883,66.46642049,7.876238225,Africa
COL,7.195100419,60.58463915,8.351978231,South America
ECU,5.390999548,58.62799638,8.114022325,South America
PER,1.665782493,61.49580018,8.372174299,South America
BRA,2.732419681,63.99505729,8.567234122,South America
BOL,3.699559101,52.97354608,7.879161871,South America
PAR,-1.932160804,49.34422111,8.316468546,South America
CHL,2.239559431,60.05920147,8.678223614,South America
MYA,-5.911416095,31.78768975,6.53737725,Asia
THI,2.845787308,51.76868096,8.127483018,Asia
PHI,2.538327904,50.73029316,7.947196156,Asia
INS,-5.368173056,58.41122296,7.672199422,Asia
IRN,-5.146562905,45.72265456,8.370582096,Asia
AFG,-4.479113924,29.00337553,6.699412186,Asia
IND,8.445214979,66.88811835,7.257468936,Asia
BHU,-10,17.73917275,7.123288178,Asia
PAK,1.563957289,55.87077795,7.211848986,Asia
SRI,5.818261249,53.00021844,7.680421236,Asia
NEP,-1.186109945,31.92467478,6.937767606,Asia
SPN,4.405853953,77.05793603,9.318378173,Europe
AND,0.512649159,9.657601978,9.564671879,Europe
POR,4.849533224,70.40225151,9.101222221,Europe
SNM,0.512649159,17.43009545,9.660695687,Europe
ALB,-3.785968586,24.97633508,7.785496923,Europe
GRC,6.732450662,67.78915813,9.216472099,Europe
LBR,-3.624198375,41.32043608,7.038405441,Africa
TUR,6.525737817,60.26790208,8.482238368,Asia
IRQ,-8.055278561,48.33513982,8.556600215,Asia
SYR,-7.936835251,49.63750814,7.970360473,Asia
LEB,0.721134814,47.73718936,8.236070037,Asia
JOR,-6.079642156,44.9810168,8.108292067,Asia
YEM,-3.452562474,43.26354167,7.117986924,Asia
OMA,-9.480402656,38.89574079,9.140012497,Asia
MNC,0.512649159,30.66943734,9.893240014,Europe
LIE,0.512649159,18.23334978,9.776935714,Europe
AUL,10,65.75140552,9.787838385,Australia
NEW,10,50.70451405,9.63442796,Australia
CUB,-6.724744732,49.28177276,8.743775454,North America
POL,-0.516748896,54.47961568,8.765340255,Europe
HUN,0.057614153,50.95123117,8.974811116,Europe
BUL,-1.08319388,49.51039923,8.713745023,Europe
GFR,10,73.47647059,9.640836895,No Continent
USA,10,73.44824903,10.00630739,North America
CAN,10,70.68235578,9.840622345,North America
UKG,10,85.57433938,9.642351519,Europe
IRE,9.97822405,59.00943624,9.334371009,Europe
