"cowcode"	"year"	"region"	"income"
41	1950	"Caribbean"	"0"
42	1950	"Caribbean"	"0"
70	1950	"Central America"	"0"
90	1950	"Central America"	"0"
91	1950	"Central America"	"0"
92	1950	"Central America"	"0"
93	1950	"Central America"	"0"
94	1950	"Central America"	"0"
95	1950	"Central America"	"0"
530	1950	"Eastern Africa"	"0"
710	1950	"Eastern Asia"	"0"
712	1950	"Eastern Asia"	"0"
731	1950	"Eastern Asia"	"0"
732	1950	"Eastern Asia"	"0"
740	1950	"Eastern Asia"	"0"
360	1950	"Eastern Europe"	"0"
365	1950	"Eastern Europe"	"0"
265	1950	"No Region"	"0"
315	1950	"No Region"	"0"
345	1950	"No Region"	"0"
713	1950	"No Region"	"0"
651	1950	"Northern Africa"	"0"
100	1950	"South America"	"0"
130	1950	"South America"	"0"
135	1950	"South America"	"0"
140	1950	"South America"	"0"
145	1950	"South America"	"0"
150	1950	"South America"	"0"
155	1950	"South America"	"0"
775	1950	"South-Eastern Asia"	"0"
800	1950	"South-Eastern Asia"	"0"
840	1950	"South-Eastern Asia"	"0"
850	1950	"South-Eastern Asia"	"0"
630	1950	"Southern Asia"	"0"
700	1950	"Southern Asia"	"0"
750	1950	"Southern Asia"	"0"
760	1950	"Southern Asia"	"0"
770	1950	"Southern Asia"	"0"
780	1950	"Southern Asia"	"0"
790	1950	"Southern Asia"	"0"
230	1950	"Southern Europe"	"0"
232	1950	"Southern Europe"	"0"
235	1950	"Southern Europe"	"0"
331	1950	"Southern Europe"	"0"
339	1950	"Southern Europe"	"0"
350	1950	"Southern Europe"	"0"
450	1950	"Western Africa"	"0"
640	1950	"Western Asia"	"0"
645	1950	"Western Asia"	"0"
652	1950	"Western Asia"	"0"
660	1950	"Western Asia"	"0"
663	1950	"Western Asia"	"0"
679	1950	"Western Asia"	"0"
698	1950	"Western Asia"	"0"
221	1950	"Western Europe"	"0"
223	1950	"Western Europe"	"0"
900	1950	"Australia and New Zealand"	"1"
920	1950	"Australia and New Zealand"	"1"
40	1950	"Caribbean"	"1"
290	1950	"Eastern Europe"	"1"
310	1950	"Eastern Europe"	"1"
355	1950	"Eastern Europe"	"1"
260	1950	"No Region"	"1"
2	1950	"Northern America"	"1"
20	1950	"Northern America"	"1"
200	1950	"Northern Europe"	"1"
205	1950	"Northern Europe"	"1"
375	1950	"Northern Europe"	"1"
380	1950	"Northern Europe"	"1"
385	1950	"Northern Europe"	"1"
390	1950	"Northern Europe"	"1"
395	1950	"Northern Europe"	"1"
101	1950	"South America"	"1"
160	1950	"South America"	"1"
165	1950	"South America"	"1"
560	1950	"Southern Africa"	"1"
325	1950	"Southern Europe"	"1"
666	1950	"Western Asia"	"1"
670	1950	"Western Asia"	"1"
210	1950	"Western Europe"	"1"
211	1950	"Western Europe"	"1"
212	1950	"Western Europe"	"1"
220	1950	"Western Europe"	"1"
225	1950	"Western Europe"	"1"
305	1950	"Western Europe"	"1"
620	1950	"Northern Africa"	NA
811	1950	"South-Eastern Asia"	NA
818	1950	"No Region"	NA
812	1950	"South-Eastern Asia"	NA
600	1950	"Northern Africa"	NA
616	1950	"Northern Africa"	NA
625	1950	"Northern Africa"	NA
820	1950	"South-Eastern Asia"	NA
452	1950	"Western Africa"	NA
438	1950	"Western Africa"	NA
520	1950	"Eastern Africa"	NA
580	1950	"Eastern Africa"	NA
471	1950	"Middle Africa"	NA
481	1950	"Middle Africa"	NA
482	1950	"Middle Africa"	NA
483	1950	"Middle Africa"	NA
484	1950	"Middle Africa"	NA
490	1950	"Middle Africa"	NA
432	1950	"Western Africa"	NA
433	1950	"Western Africa"	NA
434	1950	"Western Africa"	NA
435	1950	"Western Africa"	NA
436	1950	"Western Africa"	NA
437	1950	"Western Africa"	NA
439	1950	"Western Africa"	NA
461	1950	"Western Africa"	NA
475	1950	"Western Africa"	NA
352	1950	"Western Asia"	NA
510	1950	"Eastern Africa"	NA
451	1950	"Western Africa"	NA
690	1950	"Western Asia"	NA
51	1950	"Caribbean"	NA
500	1950	"Eastern Africa"	NA
516	1950	"Eastern Africa"	NA
517	1950	"Eastern Africa"	NA
615	1950	"Northern Africa"	NA
